PM2.5,PM10,SO2,NO2,CO,O3,date
4.0,4.0,3.0,2.0,200.0,82.0,2013-03-01
7.0,7.0,3.0,2.0,200.0,80.0,2013-03-01
5.0,5.0,3.0,2.0,200.0,79.0,2013-03-01
6.0,6.0,3.0,2.6666666666666665,200.0,79.0,2013-03-01
5.0,5.0,3.0,3.333333333333333,200.0,81.0,2013-03-01
6.0,6.0,3.0,4.0,200.0,79.0,2013-03-01
5.0,10.0,3.0,4.0,200.0,77.0,2013-03-01
5.0,6.0,3.0,2.0,200.0,80.0,2013-03-01
8.0,7.0,3.0,3.0,200.0,79.0,2013-03-01
8.0,8.0,3.0,2.0,200.0,81.0,2013-03-01
8.0,5.0,3.0,2.0,200.0,83.0,2013-03-01
3.0,2.0,3.0,2.0,200.0,83.0,2013-03-01
6.0,4.5,3.0,2.0,200.0,85.0,2013-03-01
7.0,7.0,3.0,2.0,200.0,84.0,2013-03-01
6.0,7.0,3.0,2.0,200.0,89.0,2013-03-01
10.0,10.0,3.0,2.0,200.0,88.0,2013-03-01
3.0,6.0,3.0,2.0,200.0,87.0,2013-03-01
5.0,5.0,3.0,2.0,200.0,87.0,2013-03-01
5.0,6.0,3.0,2.0,200.0,85.0,2013-03-01
14.0,6.0,3.0,2.0,200.0,83.0,2013-03-01
6.0,7.0,3.0,2.0,200.0,83.0,2013-03-01
9.0,7.0,3.0,2.0,200.0,82.0,2013-03-01
6.0,5.0,3.0,2.0,200.0,79.0,2013-03-01
6.0,9.0,3.0,2.0,300.0,72.0,2013-03-01
4.0,7.0,3.0,2.0,200.0,74.0,2013-03-02
6.0,6.0,3.0,2.0,200.0,75.0,2013-03-02
7.0,2.0,13.0,39.0,800.0,36.0,2013-03-02
28.0,47.0,21.0,71.0,1200.0,6.0,2013-03-02
31.0,65.0,25.0,71.0,1200.0,5.0,2013-03-02
39.0,55.0,22.0,70.0,1200.0,2.0,2013-03-02
41.0,45.0,16.0,65.0,1000.0,4.0,2013-03-02
52.0,32.0,13.0,56.0,800.0,8.0,2013-03-02
36.0,18.0,16.0,52.0,900.0,12.0,2013-03-02
27.0,41.0,18.0,43.0,900.0,20.0,2013-03-02
29.0,38.0,20.0,35.0,600.0,42.0,2013-03-02
19.0,12.0,22.0,38.0,600.0,43.0,2013-03-02
28.0,32.0,32.0,56.0,700.0,32.0,2013-03-02
30.0,41.0,27.0,42.0,600.0,45.0,2013-03-02
26.0,29.0,30.0,48.0,700.0,43.0,2013-03-02
32.0,36.0,37.0,56.0,800.0,39.0,2013-03-02
39.0,44.0,42.0,64.0,900.0,33.0,2013-03-02
43.0,54.0,44.0,70.0,900.0,27.0,2013-03-02
48.0,60.0,45.0,80.0,1000.0,19.0,2013-03-02
46.0,64.0,36.0,80.0,1000.0,11.0,2013-03-02
45.0,66.0,30.0,79.0,1200.0,6.0,2013-03-02
50.0,68.0,36.0,82.0,1200.0,4.0,2013-03-02
56.0,73.0,26.0,76.0,1200.0,4.0,2013-03-02
55.0,66.0,25.0,76.0,1200.0,3.0,2013-03-02
60.0,60.0,26.0,77.0,1200.0,2.0,2013-03-03
59.0,63.0,21.0,72.0,1100.0,2.0,2013-03-03
52.0,53.0,20.5,69.0,1300.0,3.0,2013-03-03
57.0,57.0,20.0,67.0,200.0,45.0,2013-03-03
53.0,48.0,19.0,66.5,1000.0,2.0,2013-03-03
48.0,55.0,19.0,66.0,1100.0,3.0,2013-03-03
53.0,55.0,19.0,69.0,1300.0,2.0,2013-03-03
53.0,59.0,15.0,67.0,1000.0,2.0,2013-03-03
50.0,56.0,22.0,62.0,1200.0,8.0,2013-03-03
60.0,78.0,33.0,60.0,1500.0,16.0,2013-03-03
73.0,87.0,41.0,61.0,1200.0,24.0,2013-03-03
76.0,101.0,49.0,64.0,1200.0,27.0,2013-03-03
75.0,102.0,64.0,75.0,1500.0,27.0,2013-03-03
92.0,147.0,51.0,58.0,1100.0,38.0,2013-03-03
79.0,147.0,23.0,27.0,600.0,65.0,2013-03-03
44.0,105.0,4.0,3.0,200.0,86.0,2013-03-03
14.0,43.0,3.0,2.75,200.0,88.0,2013-03-03
5.0,29.0,3.0,2.5,200.0,87.0,2013-03-03
3.0,32.0,3.0,2.25,200.0,84.0,2013-03-03
11.0,46.0,3.0,2.0,200.0,83.0,2013-03-03
5.0,42.0,3.0,2.0,200.0,82.0,2013-03-03
12.0,34.0,3.0,2.0,200.0,79.0,2013-03-03
4.0,31.0,7.0,8.0,500.0,61.0,2013-03-03
14.0,38.0,4.0,4.0,300.0,68.0,2013-03-03
13.0,34.0,3.0,4.0,200.0,76.0,2013-03-04
10.0,36.0,3.0,4.0,200.0,80.0,2013-03-04
