TEMP,PRES,DEWP,RAIN,date
-2.3,1020.8,-19.7,0.0,2013-03-01
-2.5,1021.3,-19.0,0.0,2013-03-01
-3.0,1021.3,-19.9,0.0,2013-03-01
-3.6,1021.8,-19.1,0.0,2013-03-01
-3.5,1022.3,-19.4,0.0,2013-03-01
-4.5,1022.6,-19.5,0.0,2013-03-01
-4.5,1023.4,-19.5,0.0,2013-03-01
-2.1,1024.6,-20.0,0.0,2013-03-01
-0.2,1025.2,-20.5,0.0,2013-03-01
0.6,1025.3,-20.4,0.0,2013-03-01
2.0,1025.1,-21.3,0.0,2013-03-01
3.6,1024.8,-20.7,0.0,2013-03-01
4.8,1023.8,-19.7,0.0,2013-03-01
5.8,1022.8,-20.6,0.0,2013-03-01
5.9,1022.6,-20.5,0.0,2013-03-01
6.0,1022.6,-20.4,0.0,2013-03-01
5.4,1022.8,-20.0,0.0,2013-03-01
3.5,1023.4,-20.8,0.0,2013-03-01
2.7,1024.2,-20.0,0.0,2013-03-01
2.0,1025.1,-19.3,0.0,2013-03-01
1.1,1025.9,-18.3,0.0,2013-03-01
1.6,1026.7,-17.4,0.0,2013-03-01
0.4,1027.2,-17.4,0.0,2013-03-01
0.3,1027.0,-16.6,0.0,2013-03-01
-0.5,1027.4,-16.4,0.0,2013-03-02
-1.8,1027.9,-16.7,0.0,2013-03-02
-1.7,1027.7,-17.4,0.0,2013-03-02
-2.5,1027.7,-17.4,0.0,2013-03-02
-3.4,1027.5,-17.0,0.0,2013-03-02
-3.5,1026.9,-16.8,0.0,2013-03-02
-3.5,1026.1,-15.8,0.0,2013-03-02
-3.3,1026.7,-14.4,0.0,2013-03-02
-2.0,1026.4,-15.1,0.0,2013-03-02
-0.2,1026.3,-16.6,0.0,2013-03-02
0.6,1025.8,-17.2,0.0,2013-03-02
1.3,1025.4,-17.1,0.0,2013-03-02
1.9,1024.2,-17.1,0.0,2013-03-02
2.3,1022.6,-17.3,0.0,2013-03-02
3.0,1021.9,-17.3,0.0,2013-03-02
2.9,1020.9,-16.8,0.0,2013-03-02
2.5,1020.6,-17.1,0.0,2013-03-02
2.1,1020.2,-16.4,0.0,2013-03-02
